법명,조문명,id,조문내용
양도소득세 집행기준,집행기준 88-151-2【공유물의 분할】,503851735,집행기준 88-151-2【공유물의 분할】 공동소유의 토지를 소유지분별로 단순히 분할하거나 공유자지분 변경없이 2개 이상의 공유토지로 분할하였다가 그 공유토지를 소유지분별로 단순히 재분할하는 경우에는 양도로 보지 아니한다.
양도소득세 집행기준,집행기준 88-151-3【토지거래허가를 받지 아니하여 무효인 경우】,503851736,집행기준 88-151-3【토지거래허가를 받지 아니하여 무효인 경우】 토지거래허가지역 내에서의 매매계약 등 거래계약은 관할관청의 허가를 받아야만 효력이 발생하므로 매매대금이 먼저 지급되어 양도인이 이를 보관하고 있다하더라도 자산의 양도에 해당되지 아니한다.
양도소득세 집행기준,집행기준 88-151-4【토지거래허가를 받지 않고 소유권이 이전된 경우】,503851737,집행기준 88-151-4【토지거래허가를 받지 않고 소유권이 이전된 경우】 토지거래허가구역 내의 토지를 허가 없이 매도한 경우 그 매매계약 및 전매계약이 무효라고 하더라도 소유권이전등기가 말소되지 아니한 채 남아 있고 매매대금도 매수인 또는 제3자에게 반환되지 아니한 채 그대로 보유하고 있는 때에는 예외적으로 매도인 등에게 양도소득세를 과세할 수 있다.
양도소득세 집행기준,집행기준 88-151-5【사해행위취소 판결에 따라 소유권이 이전된 경우】,503851738,"집행기준 88-151-5【사해행위취소 판결에 따라 소유권이 이전된 경우】 사해행위취소 판결은 채권자와 양수자 사이에 있어서만 그 효력이 발생할 뿐이므로 당초 소유자 명의로 원상회복하는 것은 양도에 해당하지 아니하고, 당초 소유자 명의로 원상회복하여도 당초 소유자가 직접 권리를 취득하는 것이 아니어서 당초 소유자가 납부한 양도소득세는 환급대상이 아니다."
양도소득세 집행기준,집행기준 88-151-6【배우자 또는 직계존비속에게 양도한 자산의 증여추정】,503851739,"집행기준 88-151-6【배우자 또는 직계존비속에게 양도한 자산의 증여추정】 배우자 또는 직계존비속에게 양도한 재산을&lt;a href=JavaScript:LawHyper(""025300LW104400""); class=clsHyper&gt;「상속세 및 증여세법」제44조&lt;/a&gt;제1항에 따라 증여한 것으로 추정하는 경우에는 양도소득세가 과세되지 않고 증여세가 과세된다."
양도소득세 집행기준,집행기준 88-151-7【특수관계자가 개입되어 양도한 자산의 증여추정】,503851740,집행기준 88-151-7【특수관계자가 개입되어 양도한 자산의 증여추정】 특수관계 있는 자에게 양도한 재산을 그 특수관계에 있는 자가 재산 취득일부터 3년 이내에 당초 양도자의 배우자 또는 직계존비속에게 다시 양도한 경우로서 양도자들이 부담한 양도소득세보다 수증자가 부담한 증여세가 큰 경우「상속세 및 증여세법」에 따라 증여로 추정하여 증여세가 과세된다. &#x0D;   ┌───┐             양도                 ┌──────────┐&#x0D;   │父(夫)│────────────────→│특수관계자(친족 등) │&#x0D;   └─┬─┘                                  └────┬─────┘&#x0D;       │                                                │양수일부터&#x0D;       │                                                │3년 이내 양도&#x0D;       │                                                ↓&#x0D;       │                                            ┌────┐&#x0D;       └─────────────────────→│ 子(婦) │&#x0D;              상증법 §44 ②에 의해 증여추정         └────┘
양도소득세 집행기준,집행기준 88-151-7【양도로 보지 아니하는 기타 해석 사례】,503851741,집행기준 88-151-7【양도로 보지 아니하는 기타 해석 사례】        구        분       ┃                양도로 보지 아니하는 경우                       &#x0D; ━━━━━━━━━━━━━╋━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━&#x0D;   양도담보자산            │채무자가 양도담보계약을 체결하고 양도담보계약서의 사본을 과세   &#x0D;                           │표준확정신고서에 첨부하여 신고하는 경우                         &#x0D; ─────────────┼────────────────────────────────&#x0D;   명의신탁해지            │법원의 확정판결에 의하여 신탁해지를 원인으로 소유권 이전등기를  &#x0D;                           │하는 경우                                                       &#x0D; ─────────────┼────────────────────────────────&#x0D;   매매원인무효로 자산이전 │매매원인 무효의 소에 의하여 그 매매사실이 원인무효로 판시되어   &#x0D;                           │소유권이 환원되는 경우                                          &#x0D; ─────────────┼────────────────────────────────&#x0D;   어음부도로 계약이       │소유권이전등기가 완료되지 않은 상태에서 매매대금의 일부로 받은  &#x0D;   해지된 경우             │어음이 부도처리되어 당초 계약이 해지된 경우                     &#x0D; ─────────────┼────────────────────────────────&#x0D;   본인소유 자산을 자기가  │본인 소유자산을 경매 등으로 자기가 재취득하는 경우              &#x0D;   재취득하는 경우         │                                                                &#x0D; ─────────────┼────────────────────────────────&#x0D;   재산분할청구권의 행사로 │혼인 중에 형성된 실질적인 부부공동재산을 재산분할 청구권의 행사 &#x0D;   소유권이 이전되는 경우  │(민법 §839의2)에 따라 소유권이 이전되는 경우                   &#x0D; ━━━━━━━━━━━━━┷━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
양도소득세 집행기준,제2장 1세대1주택 비과세 (89-154-1∼89-156의 2-17),503851742,제2장 1세대1주택 비과세 (89-154-1∼89-156의 2-17) ※ 1세대 1주택 비과세의 입법취지 주택은 주거생활의 기초가 되는 것이므로 1세대가 국내에 소유하는 1개의 주택을 양도하는 것이 양도소득을 얻거나 투기를 할 목적으로 보유하다 양도하는 것이 아니라고 볼 수 있는 일정한 경우에는 그 양도소득에 대하여 소득세를 부과하지 아니함으로써 국민의 주거생활의 안정과 거주이전의 자유를 보장하고자 마련한 제도이다.
양도소득세 집행기준,○ 1세대 (89-154-1∼89-154-10),503851743,○ 1세대 (89-154-1∼89-154-10)
양도소득세 집행기준,집행기준 89-154-1【1세대의 정의】,503851744,"집행기준 89-154-1【1세대의 정의】 거주자(주택을 양도한 자)와 그 배우자가 그들과 동일한 주소 또는 거소에서 생계를 같이하는 가족을 1세대라고 하며, 이 경우 가족은 거주자와 그 배우자의 직계존비속(그 배우자를 포함한다) 및 형제자매를 말하며, 취학ㆍ질병의 요양, 근무상 또는 사업상의 형편으로 본래의 주소 또는 거소를 일시퇴거한 자를 포함한다."
양도소득세 집행기준,집행기준 89-154-2【1세대의 판정 기준】,503851745,"집행기준 89-154-2【1세대의 판정 기준】 1세대 1주택 비과세의 1세대에 해당하는지 여부는 주택 양도일 현재를 기준으로 판정하는 것이며, 같은 장소에서 생계를 같이하는 가족의 주민등록상 현황과 사실상 현황이 다른 경우에는 사실상 현황에 의한다."
양도소득세 집행기준,집행기준 89-154-3【부부가 각각 단독세대를 구성하거나 가정불화로 별거한 경우】,503851746,"집행기준 89-154-3【부부가 각각 단독세대를 구성하거나 가정불화로 별거한 경우】 현행「민법」에서 혼인은「가족관계의 등록 등에 관한 법률」에 따라 신고함으로써 그 효력이 생긴다고 규정하고 있어, 부부가 각각 단독세대를 구성하거나 가정불화로 별거 중이라도 법률상 배우자는 같은 세대로 본다."
양도소득세 집행기준,집행기준 89-154-4【배우자가 없는 때에도 1세대로 보는 경우】,503851747,"집행기준 89-154-4【배우자가 없는 때에도 1세대로 보는 경우】 해당 거주자의 연령이 30세 이상이거나 배우자가 사망ㆍ이혼한 경우 또는&lt;a href=JavaScript:LawHyper(""027400LW100400""); class=clsHyper&gt;「소득세법」제4조&lt;/a&gt;에 따른 소득이「국민기초생활보장법」에 따른 최저생계비 수준 이상으로 소유하고 있는 주택을 관리ㆍ유지하면서 독립된 생계를 유지할 수 있는 20세 이상인 성년자는 배우자가 없는 경우에도 1세대 1주택 비과세를 적용 받을 수 있다."
양도소득세 집행기준,집행기준 89-154-5【연도별 최저생계비의 범위】,503851748,"집행기준 89-154-5【연도별 최저생계비의 범위】                                                                  (원/월)&#x0D;  연도 ┃1인 가구┃2인 가구┃3인 가구  ┃4인 가구  ┃5인 가구  ┃6인 가구  &#x0D; ━━━╋━━━━╋━━━━╋━━━━━╋━━━━━╋━━━━━╋━━━━━&#x0D;  2006 │418,309 │700,849 │  939,849 │1,170,422 │1,353,242 │1,542,382 &#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2007 │435,921 │734,412 │  972,866 │1,205,535 │1,405,412 │1,609,630 &#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2008 │463,047 │784,319 │1,026,603 │1,265,848 │1,487,878 │1,712,186 &#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2009 │490,845 │835,763 │1,081,186 │1,326,609 │1,572,031 │1,817,454 &#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2010 │504,344 │858,747 │1,110,919 │1,363,091 │1,615,263 │1,867,435 &#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2011 │532,583 │906,830 │1,173,121 │1,439,413 │1,705,704 │1,971,995&#x0D; ───┼────┼────┼─────┼─────┼─────┼─────&#x0D;  2012 │553,354 │942,197 │1,218,873 │1,4950,550│1,772,227 │2,048,904&#x0D; ━━━┷━━━━┷━━━━┷━━━━━┷━━━━━┷━━━━━┷━━━━━&#x0D; → 최저생계비: 보건복지부(http://www.mw.go.kr/)"
양도소득세 집행기준,집행기준 89-154-6【독립된 1세대로서의 생계유지 범위】,503851749,집행기준 89-154-6【독립된 1세대로서의 생계유지 범위】 대학생이 군 입대전 수개월 동안 일하면서 소득을 올렸다고 하여 독립된 생계를 유지하였다고 볼 수 없으므로 별도의 1세대를 구성하였다고 볼 수 없다.
양도소득세 집행기준,집행기준 89-154-7【양자(養子)의 경우】,503851750,"집행기준 89-154-7【양자(養子)의 경우】 양자의 직계존속에는 양부모와 생부모를 모두 포함하는 것이며, 양자가 양가와 생가 중 어느 세대에 속하는지는 형식상의 주민등록 내용에 불구하고 실질적으로 생계를 같이하는지 여부에 따라 판단한다."
양도소득세 집행기준,집행기준 89-154-8【거주자와 1세대 요건을 갖춘 아들이 같은 세대원인 경우】,503851751,"집행기준 89-154-8【거주자와 1세대 요건을 갖춘 아들이 같은 세대원인 경우】 1주택을 소유한 거주자가&lt;a href=JavaScript:LawHyper(""027400LW215400""); class=clsHyper&gt;「소득세법 시행령」제154조&lt;/a&gt;제1항 및 제2항에 따른 1세대 구성요건을 갖춘 아들과 함께 1세대를 구성하여 생계를 같이하고 있는 경우로서 아들이 주택을 보유한 경우 1세대 2주택에 해당된다.                                           ┌───────┐&#x0D;         ┌─────┐                    │  거주자(父)  │&#x0D;         │배우자(母)├──────────┤(1주택 양도시)│&#x0D;         └─────┘                    └───────┘&#x0D;                                           ┌───────┐&#x0D;                                           │   아    들   │&#x0D;                                           │ (1주택 보유) │&#x0D;                                           └───────┘"
양도소득세 집행기준,집행기준 89-154-9【거주자의 배우자와 1세대 요건을 갖춘 아들이 같은 세대원인 경우】,503851752,"집행기준 89-154-9【거주자의 배우자와 1세대 요건을 갖춘 아들이 같은 세대원인 경우】 거주자가 단독으로 1세대를 구성하고 그 거주자의 배우자는 그들의 아들과 함께 1세대를 구성하여 생계를 같이하고 있는 경우에 거주자와 그 배우자는 세대 또는 생계를 달리하여도 같은 세대원으로 보는 것이나, 그 아들이&lt;a href=JavaScript:LawHyper(""027400LW215400""); class=clsHyper&gt;「소득세법 시행령」제154조&lt;/a&gt; 제1항 및 제2항에 따른 1세대 구성요건을 갖춘 경우에는 거주자와 그 아들은 같은 세대원으로 보지 아니한다.                                           ┌───────┐&#x0D;     ┌───────┐                    │  배우자(母)  │&#x0D;     │  거주자(父)  ├──────────┤              │&#x0D;     │(1주택 양도시)│                    └───────┘&#x0D;     └───────┘                    ┌───────┐&#x0D;                                           │   아    들   │&#x0D;                                           │ (1주택 보유) │&#x0D;                                           └───────┘"
양도소득세 집행기준,집행기준 89-154-10【교회 소유 1주택 양도시 비과세 여부】,503851753,집행기준 89-154-10【교회 소유 1주택 양도시 비과세 여부】 「소득세법」에 따라 1거주자로 보는 교회가 주택을 양도하는 경우에는 1세대 1주택 비과세 규정이 적용되지 않는다.
양도소득세 집행기준,○ 주택과 그에 딸린 토지 (89-154-11∼89-154-27),503851754,○ 주택과 그에 딸린 토지 (89-154-11∼89-154-27)
양도소득세 집행기준,집행기준 89-154-11【주택의 정의】,503851755,"집행기준 89-154-11【주택의 정의】 주택은 건물공부상의 용도구분에 관계없이 사실상 주거용으로 사용하는 건물을 말하며, 그 용도가 불분명한 경우에는 공부상의 용도에 의하여 판단한다."
양도소득세 집행기준,집행기준 89-154-12【주택의 판정 기준일】,503851756,"집행기준 89-154-12【주택의 판정 기준일】 주택에 해당하는지 여부는 양도일 현재를 기준으로 판단하며, 매매특약에 의하여 매매계약일 이후 주택을 멸실한 경우에는 매매계약일 현재를 기준으로 판단한다."
양도소득세 집행기준,집행기준 89-154-13【비과세 요건을 갖춘 주택의 지분ㆍ분할 양도】,503851757,집행기준 89-154-13【비과세 요건을 갖춘 주택의 지분ㆍ분할 양도】 ┌────────────────────┰─────────────────┐&#x0D; │             구        분               ┃            비과세 여부           │&#x0D; ┝━━━━━━━━━━━━━━━━━━━━╋━━━━━━━━━━━━━━━━━┥&#x0D; │              지분 양도                 │             비 과 세             │&#x0D; ├────┬───────────────┼─────────────────┤&#x0D; │분  할  │1주택을 2 이상의 주택으로 분할│먼저 양도하는 주택과 토지: 과  세 │&#x0D; │양 도1) │하여 양도(주택과 토지)        │나중 양도하는 주택과 토지: 비과세 │&#x0D; │        ├───────────────┼─────────────────┤&#x0D; │        │주택 전부를 먼저 양도         │             비 과 세             │&#x0D; │        ├───────────────┼─────────────────┤&#x0D; │        │토지 전부를 먼저 양도         │             과    세             │&#x0D; └────┴───────────────┴─────────────────┘&#x0D;  1) 공익사업에 수용된 경우에는 잔존주택을 2년 이내 양도시 비과세 가능함
양도소득세 집행기준,집행기준 89-154-14【1세대 1주택 판정시 주택 수에서 제외되는 주택】,503851758,"집행기준 89-154-14【1세대 1주택 판정시 주택 수에서 제외되는 주택】 ┌──────────────┰──────┰───────────┐&#x0D; │        구        분        ┃1세대 1주택 ┃      적용 조문       │&#x0D; ┝━━━━━━━━━━━━━━╋━━━━━━╋━━━━━━━━━━━┥&#x0D; │주택신축판매업자의 재고주택 │  제    외  │소법 §19             │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │부동산매매업자의 재고주택   │  제    외  │소법 §19             │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │장기임대주택                │  제    외  │조특법 §97           │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │신축임대주택                │  제    외  │조특법 §97의 2       │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │지방 미분양주택             │  제    외  │조특법 §98의 2       │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │미분양주택                  │  제    외  │조특법 §98의 3       │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │신축감면주택                │  포   함1) │조특법 §99, §99의 3 │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │농어촌주택                  │  제    외  │조특법 §99의 4       │&#x0D; ├──────────────┼──────┼───────────┤&#x0D; │장기임대주택                │  포    함  │소령§167의 3         │&#x0D; └──────────────┴──────┴───────────┘&#x0D;  1) 2007.12.31. 이전에 신축감면주택외 일반주택을 양도하는 경우 신축&#x0D;     감면주택을 거주자의 주택으로 보지 아니하는 것임."
양도소득세 집행기준,집행기준 89-154-15【무허가주택의 비과세 가능 여부】,503851759,"집행기준 89-154-15【무허가주택의 비과세 가능 여부】 건축허가를 받지 않거나, 불법으로 건축된 주택이라 하더라도 주택으로 사용할 목적으로 건축된 건축물인 경우에는 건축에 관한 신고여부, 건축완성에 대한 사용검사나 사용승인에 불구하고 주택에 해당되며, 1주택만 소유한 경우에는 1세대 1주택 비과세 규정을 적용받을 수 있다."
양도소득세 집행기준,집행기준 89-154-16【공가상태 건물의 주택 해당 여부】,503851760,집행기준 89-154-16【공가상태 건물의 주택 해당 여부】 주택으로 사용하던 건물이 장기간 공가 상태로 방치된 경우에도 공부상의 용도가 주거용으로 등재되어 있으면 주택으로 보는 것이며 장기간 공가 상태로 방치한 건물이 건축법에 의한 건축물로 볼 수 없을 정도로 폐가가 된 경우에는 주택으로 보지 아니한다.
양도소득세 집행기준,집행기준 89-154-17【전기와 수도시설이 철거된 재건축아파트의 주택 여부】,503851761,"집행기준 89-154-17【전기와 수도시설이 철거된 재건축아파트의 주택 여부】 1세대 1주택 양도소득세 비과세 제도의 취지 및&lt;a href=JavaScript:LawHyper(""027400LW108900""); class=clsHyper&gt;「소득세법」제89조&lt;/a&gt;제2항의 입법취지와 조문체계 등에 비추어, 전기와 수도시설이 철거된 경우에도 주거용으로서의 잠재적 기능을 여전히 보유한 상태인 재건축아파트는 ""주택""에 해당된다."
양도소득세 집행기준,집행기준 89-154-18【주택을 일시적으로 다른 용도로 사용하고 있는 경우】,503851762,집행기준 89-154-18【주택을 일시적으로 다른 용도로 사용하고 있는 경우】 일시적으로 주거가 아닌 다른 용도로 사용되고 있다 하더라도 그 구조ㆍ기능이나 시설 등이 본래 주거용으로서 주거용에 적합한 상태에 있고 주거기능이 그대로 유지ㆍ관리되고 있어 언제든지 주택으로 사용할 수 있는 건물은 주택으로 본다.
양도소득세 집행기준,집행기준 89-154-19【한울타리 내 농가주택과 창고 등이 있는 경우】,503851763,"집행기준 89-154-19【한울타리 내 농가주택과 창고 등이 있는 경우】 사회통념상 농ㆍ어업에 필수적인 것으로 인정되는 범위 내의 축사, 퇴비사 및 농기구용 창고 등도 농가주택의 일부분으로 보아 1세대 1주택 비과세 여부를 판단한다."
양도소득세 집행기준,집행기준 89-154-20【펜션의 주택 여부】,503851764,집행기준 89-154-20【펜션의 주택 여부】 펜션을 숙박용역 용도로만 제공하는 경우 주택에 해당하지 않으나 세대원이 해당 건물로 거소 등을 이전하여 주택으로 사용하는 경우에는 겸용주택으로 본다.
양도소득세 집행기준,집행기준 89-154-21【공장 내 합숙소의 주택 여부】,503851765,집행기준 89-154-21【공장 내 합숙소의 주택 여부】 사용인의 생활을 위하여 공장에 딸린 건물을 합숙소로 사용하고 있는 경우 해당 합숙소는 주택으로 보지 아니한다.
양도소득세 집행기준,집행기준 89-154-22【공실인 오피스텔의 주택 여부】,503851766,"집행기준 89-154-22【공실인 오피스텔의 주택 여부】 주택 양도일 현재 공실로 보유하는 오피스텔의 경우 내부시설 및 구조 등을 주거용으로 사용할 수 있도록 변경하지 아니하고 건축법상의 업무용으로 사용승인된 형태를 유지하고 있는 경우에는 주택으로 보지 않으며, 내부시설 및 구조 등을 주거용으로 변경하여 항상 주거용으로 사용 가능한 경우에는 주택으로 본다."
양도소득세 집행기준,집행기준 89-154-23【비과세가 적용되는 주택에 딸린 토지의 범위】,503851767,"집행기준 89-154-23【비과세가 적용되는 주택에 딸린 토지의 범위】 비과세가 적용되는 주택에 딸린 토지는 거주자가 소유하는 주택과 주거생활의 일체를 이루는 토지로 거주자 또는 거주자와 같은 세대가 소유하는 토지를 말하고, 주택정착면적의 5배(도시지역 밖은 10배) 이내의 토지 면적은 비과세가 적용된다."
양도소득세 집행기준,집행기준 89-154-24【주택정착면적의 기준】,503851768,집행기준 89-154-24【주택정착면적의 기준】 주택정착면적은 건물의 수평투영면적(건물의 위에서 내려다보았을 경우 전체 건물의 그림자 면적)을 기준으로 한다.
양도소득세 집행기준,집행기준 89-154-25【주택에 딸린 토지로 보는 해석 사례】,503851769,집행기준 89-154-25【주택에 딸린 토지로 보는 해석 사례】 ┌───────────┰─────────────────────────────┐&#x0D; │    구        분      ┃              주택에 딸린 토지로 보는 경우                │&#x0D; ┝━━━━━━━━━━━╋━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┥&#x0D; │한 울타리 내 여러 필지│필지 수에 불구하고 사실상 주택과 경제적 일체를 이루는 경우│&#x0D; ├───────────┼─────────────────────────────┤&#x0D; │같은 세대원이 소유한  │주택과 그에 딸린 토지를 같은 세대원이 각각 소유한 경우    │&#x0D; │주택에 딸린 토지      │                                                          │&#x0D; ├───────────┼─────────────────────────────┤&#x0D; │매매계약체결 후       │매매계약 체결 후 양도일 전에 매매계약조건에 따라 주택을 멸│&#x0D; │주택을 멸실한 경우    │실한 경우                                                 │&#x0D; ├───────────┼─────────────────────────────┤&#x0D; │환지청산금            │1세대 1주택 비과세 요건(고가주택 제외)을 갖춘 조합원이    │&#x0D; │                      │조합으로부터 환지청산금을 지급받는 경우                   │&#x0D; ├───────────┼─────────────────────────────┤&#x0D; │전용 사도             │해당 토지가 양도 주택에만 전용으로 사용되는 별도 필지의   │&#x0D; │                      │도로                                                      │&#x0D; └───────────┴─────────────────────────────┘
양도소득세 집행기준,집행기준 89-154-26【주택에 딸린 토지로 보지 않는 해석 사례】,503851770,집행기준 89-154-26【주택에 딸린 토지로 보지 않는 해석 사례】 ┌─────────────┰──────────────────────────────┐&#x0D; │      구        분        ┃             주택에 딸린 토지로 보지 않는 경우              │&#x0D; ┝━━━━━━━━━━━━━╋━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┥&#x0D; │울타리 경계 밖에 있는 토지│담장 또는 울타리 경계 밖에 있는 토지                        │&#x0D; ├─────────────┼──────────────────────────────┤&#x0D; │타인이 소유한 주택에      │같은 세대원이 아닌 자가 소유한 주택에 딸린 토지             │&#x0D; │딸린 토지                 │                                                            │&#x0D; ├─────────────┼──────────────────────────────┤&#x0D; │주택 양도후 주택에 딸린   │주택을 제3자에게 먼저 양도한 후 나중에 수용되는 주택에 딸린 │&#x0D; │토지가 수용되는 경우      │토지                                                        │&#x0D; ├─────────────┼──────────────────────────────┤&#x0D; │공동으로 사용하는 사도    │다른 세대도 공동으로 사용하는 사도                          │&#x0D; └─────────────┴──────────────────────────────┘
양도소득세 집행기준,집행기준 89-154-27【겸용주택의 주택과 그에 딸린 토지 면적 계산】,503851771,"집행기준 89-154-27【겸용주택의 주택과 그에 딸린 토지 면적 계산】                                                 주택부분 연면적   &#x0D;   ① 주택의 정착면적 ＝ 건물전체 정착면적 ×  ──────────&#x0D;                                                 건물전체 연면적   &#x0D; &#x0D;                                                주택부분 연면적  &#x0D;   ② 주택에 딸린 토지면적 ＝  건물에 딸린  × ─────────&#x0D;                               전체토지면적     건물전체 연면적 &#x0D; &#x0D; ┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┓&#x0D; ┃                                   &lt;사  례&gt;                                       ┃&#x0D; ┃비과세요건을 충족한 겸용주택에 딸린 토지면적 계산                                 ┃&#x0D; ┃(건물정착면적: 150㎡, 건물에딸린전체토지면적: 800㎡, 도시지역 소재)               ┃&#x0D; ┃┌───────────┬─────────────┬─────────────┐┃&#x0D; ┃│       구    분       │       주택＞기타건물     │      주택 ≤기타건물     │┃&#x0D; ┃├───────────┼─────────────┼─────────────┤┃&#x0D; ┃│건물 정착면적         │80㎡＞70㎡                │70㎡≤80㎡                │┃&#x0D; ┃├───────────┼─────────────┼─────────────┤┃&#x0D; ┃│주택에 딸린 토지면적  │800㎡                     │373㎡                     │┃&#x0D; ┃│                      │(800 ＝ 800×150/150)     │(373 ＝ 800×70/150)      │┃&#x0D; ┃├───────────┼─────────────┼─────────────┤┃&#x0D; ┃│비과세 되는           │750㎡                     │350㎡                     │┃&#x0D; ┃│주택에 딸린토지면적   │(750 ＝ 150×5배)         │(350 ＝ 70×5배)          │┃&#x0D; ┃└───────────┴─────────────┴─────────────┘┃&#x0D; ┗━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┛"
양도소득세 집행기준,○ 보유 및 거주기간 (89-154-28∼89-154-38),503851772,○ 보유 및 거주기간 (89-154-28∼89-154-38)
